 0.00000000000000E+0000  4.76482087096156E-0001  4.75133551024589E-0001  2.34118587192008E-0001  0.00000000000000E+0000  5.99349365140994E-0002  1.34141319094843E-0002  4.75000021269878E-0012  4.91649033103217E-0002  2.32417265346993E-0003  1.17525355512022E-0001 
 3.00000000000000E-0002  4.49649983855653E-0001  4.48277263132502E-0001  2.25941834209644E-0001  0.00000000000000E+0000  6.10098099178049E-0002  1.29456341092360E-0002  6.66426048021799E-0009  4.74477851840253E-0002  2.17500045804752E-0003  1.00129913312634E-0001 
 6.00000000000000E-0002  4.22634748572934E-0001  4.21225934773836E-0001  2.14513108541896E-0001  0.00000000000000E+0000  6.26139466266075E-0002  1.22908102633244E-0002  5.32772741141108E-0008  4.50477527937982E-0002  2.07066978573005E-0003  8.60984072843036E-0002 
 9.00000000000000E-0002  4.07252533980193E-0001  4.05818436567748E-0001  2.07015910719431E-0001  0.00000000000000E+0000  6.37376627753161E-0002  1.18612484683885E-0002  1.79766917341934E-0007  4.34733412510805E-0002  2.02713587952189E-0003  7.91370551195378E-0002 
 1.20000000000000E-0001  3.96594208417575E-0001  3.95140510036405E-0001  2.01470941634264E-0001  0.00000000000000E+0000  6.46088169408622E-0002  1.15435421827212E-0002  4.25957257365861E-0007  4.23088977431954E-0002  2.00554866596186E-0003  7.46560352933127E-0002 
 1.50000000000000E-0001  3.88470622159192E-0001  3.87000763634747E-0001  1.97065209324748E-0001  0.00000000000000E+0000  6.53270455309143E-0002  1.12911099642180E-0002  8.31459377783776E-0007  4.13836939581972E-0002  1.99688655132919E-0003  7.14058453704076E-0002 
 1.80000000000000E-0001  3.81912711547484E-0001  3.80428979986821E-0001  1.93397279372005E-0001  0.00000000000000E+0000  6.59436249183617E-0002  1.10809511006652E-0002  1.43551283301152E-0006  4.06134286681210E-0002  1.99826091016134E-0003  6.88777310653372E-0002 
 2.10000000000000E-0001  3.76409406765837E-0001  3.74913418423161E-0001  1.90241215033633E-0001  0.00000000000000E+0000  6.64883707856213E-0002  1.09001202496956E-0002  2.27678387634014E-0006  3.99506551570629E-0002  2.00876393987614E-0003  6.68180048160720E-0002 
 2.40000000000000E-0001  3.71659828878944E-0001  3.70152775534845E-0001  1.87457913888264E-0001  0.00000000000000E+0000  6.69801486266186E-0002  1.07406473554004E-0002  3.39312270067175E-0006  3.93661619165354E-0002  2.02827542585702E-0003  6.50832885435677E-0002 
 2.70000000000000E-0001  3.67750147438977E-0001  3.66232935369585E-0001  1.84956011719481E-0001  0.00000000000000E+0000  6.74316475285244E-0002  1.05972975850161E-0002  4.82128294989179E-0006  3.88407624610911E-0002  2.05701271698957E-0003  6.38625941449243E-0002 
 3.00000000000000E-0001  3.64398924001094E-0001  3.62872258401398E-0001  1.82672507439059E-0001  0.00000000000000E+0000  6.78518044309302E-0002  1.04664612084565E-0002  6.59660791909569E-0006  3.83612265622025E-0002  2.09532540990252E-0003  6.29450023426234E-0002 
 3.30000000000000E-0001  3.61377001550708E-0001  3.59841440825968E-0001  1.80562283504818E-0001  0.00000000000000E+0000  6.82471433217571E-0002  1.03455531568919E-0002  8.75268911795597E-0006  3.79180795360119E-0002  2.14358652410773E-0003  6.21516028180025E-0002 
 3.60000000000000E-0001  3.58621063776082E-0001  3.57077056062480E-0001  1.78592040060537E-0001  0.00000000000000E+0000  6.86225650489913E-0002  1.02326654713289E-0002  1.13210041654299E-0005  3.75043284127128E-0002  2.20212761750265E-0003  6.14560161608437E-0002 
 3.90000000000000E-0001  3.56083840702761E-0001  3.54531749345114E-0001  1.76736588717773E-0001  0.00000000000000E+0000  6.89818381176104E-0002  1.01263549499730E-0002  1.43305422463137E-0005  3.71146836307322E-0002  2.27119694172389E-0003  6.08388478027020E-0002 
 4.20000000000000E-0001  3.53729186849136E-0001  3.52169308717081E-0001  1.74976485833787E-0001  0.00000000000000E+0000  6.93279169802374E-0002  1.00255075437793E-0002  1.78074265122044E-0005  3.67450620250953E-0002  2.35093171423371E-0003  6.02854753254913E-0002 
 4.50000000000000E-0001  3.51528881322147E-0001  3.49961460313936E-0001  1.73296464608854E-0001  0.00000000000000E+0000  6.96631559204712E-0002  9.92924852140836E-0003  2.17745437671428E-0005  3.63922575678593E-0002  2.44134053968479E-0003  5.97846396201022E-0002 
 4.80000000000000E-0001  3.49460478623469E-0001  3.47885715837426E-0001  1.71684363630182E-0001  0.00000000000000E+0000  6.99894571574738E-0002  9.83688107874315E-0003  2.62511924571473E-0005  3.60537163623382E-0002  2.54229414027525E-0003  5.93275150619997E-0002 
 5.10000000000000E-0001  3.47506759992520E-0001  3.45924821530920E-0001  1.70130374948615E-0001  0.00000000000000E+0000  7.03083760711001E-0002  9.74784325645658E-0003  3.12527603044585E-0005  3.57273787392091E-0002  2.65445740219429E-0003  5.89070768146407E-0002 
 5.40000000000000E-0001  3.45653304822372E-0001  3.44064327875407E-0001  1.68626504113314E-0001  0.00000000000000E+0000  7.06211976428996E-0002  9.66167700198909E-0003  3.67904428257816E-0005  3.54115658637959E-0002  2.77791090466422E-0003  5.85176588528840E-0002 
 5.70000000000000E-0001  3.43886088389070E-0001  3.42290186044866E-0001  1.67166174540063E-0001  0.00000000000000E+0000  7.09289930757640E-0002  9.57800550131133E-0003  4.28710134029977E-0005  3.51048966534131E-0002  2.91050952735209E-0003  5.81546380777644E-0002 
