MachNum ,Cd
0,0.710469036590688
0.03,0.663908041133509
0.06,0.618371230636713
0.09,0.592810665503621
0.12,0.57521000451414
0.15,0.561846278027444
0.18,0.551090052539701
0.21,0.542088483502361
0.24,0.534365154013233
0.27,0.528341805487059
0.3,0.524182913363476
0.33,0.523121119672778
0.36,0.523128314955271
0.39,0.523094058135568
0.42,0.523022171147169
0.45,0.522915821468134
0.48,0.522777514299965
0.51,0.52260910394132
0.54,0.522411824750861
0.57,0.52218634077049
0.6,0.521932811808269
0.63,0.520485877214406
0.66,0.519017875841233
0.69,0.517528373523404
0.72,0.516016760280337
0.75,0.514482340205765
0.78,0.512924413635367
0.81,0.511322971902444
0.84,0.509427435766982
0.87,0.508814876056158
0.9,0.515322625016183
0.93,0.529692681567129
0.96,0.552285888794827
0.99,0.584043831382392
1.02,0.627941765481153
1.05,0.698810380616678
1.08,0.687492036381158
1.11,0.681826924416372
1.14,0.677652680722909
1.17,0.670780590289285
1.2,0.663317910251252
1.23,0.659398977615953
1.26,0.654753613929746
1.29,0.64949854272973
1.32,0.645009855627508
1.35,0.640704132970374
1.38,0.636432279439131
1.41,0.631372157641573
1.44,0.626322550741623
1.47,0.621283382089555
1.5,0.615803254793405
1.53,0.610644353679949
1.56,0.605474357525318
1.59,0.600300039843022
1.62,0.595127501632377
1.65,0.589962231203234
1.68,0.584809159047835
1.71,0.579672708089178
1.74,0.574556839633268
1.77,0.569465095344561
1.8,0.564400635551842
1.83,0.559366274176922
1.86,0.55436451056219
1.89,0.549397558455809
1.92,0.544467372395885
1.95,0.539575671717657
1.98,0.534723962390896
2.01,0.52991355687859
2.04,0.525145592192563
2.07,0.520421046307261
2.1,0.515740753079308
2.13,0.511105415807835
2.16,0.50651561955882
2.19,0.501971842365864
2.22,0.497474465409843
2.25,0.493023782270658
2.28,0.48862000733596
2.31,0.484263283443961
2.34,0.479953688830449
2.37,0.475691243443707
2.4,0.471475914685161
2.43,0.46730762262829
2.46,0.463186244763469
2.49,0.459111620312034
2.52,0.455083554148834
2.55,0.451101820368938
2.58,0.44716616553084
2.61,0.44327631160554
2.64,0.439431958658166
2.67,0.435632787286317
2.7,0.431878460837128
2.73,0.428168627422979
2.76,0.424502921753999
2.79,0.420880966803789
2.82,0.417302375323353
2.85,0.41376675121679
2.88,0.410273690791125
2.91,0.406822783891484
2.94,0.403413614931831
2.97,0.400045763830552
3,0.39671880685932
